"Sample_uniq","mean_bq","mean_gc","mean_total","mean_dup","mean_pl","mean_rn","mean_ins","mean_mr","mean_ir","mean_b53"
"ARG_PolyA_HCC1395_1",99.4086982634792,49.75,40579850,53.2335602732791,0.5725,8.2725,313.5,99.3551242117398,1.79569374695688,1.23
"ARG_PolyA_HCC1395_2",99.3293619406168,49,39589856,54.6108715815264,0.5,11.915,317.5,99.4214893345933,2.13478919982278,1.17
"ARG_PolyA_HCC1395_3",99.2853117289342,49.5,39048013,51.0746493475564,0.5175,7.465,321,99.3837402607896,1.70995428852022,1.22
"BMK_RiboZero_HCC1395_1",98.8096030610098,44.5,65778671.5,57.7832881854826,0.9,3.755,416,95.1217450342708,3.46128499135582,1.14
"BMK_RiboZero_HCC1395_2",98.7361698904768,45.5,61615883.5,57.2695257599128,1.075,4.8775,408,95.2967949896972,3.40599379478549,1.14
"BMK_RiboZero_HCC1395_3",98.977113998521,44.75,67694001,62.3590238013365,2.0525,7.905,374.5,95.7316293879363,3.15065830138895,1.13
"MGI_PolyA_HCC1395_1_1",98.0400933951941,47.5,38811546.5,51.469824820571,0.35,6.6225,416.5,90.5975141754724,1.95576939739571,1.185
"MGI_PolyA_HCC1395_1_2",98.1597444887366,47.5,38625333.5,51.0649288368926,0.4075,6.43,414,90.7345712093998,1.88213966426161,1.18
"MGI_PolyA_HCC1395_1_3",98.0084650712256,47.5,39112642.5,51.3988222758114,0.4375,6.81,404,90.5710453275553,2.0202166814659,1.195
"MGI_PolyA_HCC1395_2_1",98.1146223212249,47,39145464.5,51.0519940753976,0.3575,6.6625,401,90.7598102771744,1.96464352650463,1.18
"MGI_PolyA_HCC1395_2_2",98.2065365792597,47.25,38621524.5,51.1684984317628,0.3975,6.79,407,90.7209536467549,1.97712468831063,1.19
"MGI_PolyA_HCC1395_2_3",98.1637582153307,47.5,39225548.5,50.8771002223281,0.3675,6.3375,404,90.8973287738886,1.91503257574794,1.175
"MGI_PolyA_HCC1395_3_1",98.1801208249015,47.5,38485407.5,50.9339159543261,0.4275,6.44,409.5,90.7492692920942,1.95566651508352,1.18
"MGI_PolyA_HCC1395_3_2",97.9743591895401,47.5,35954054,50.1596369907864,0.3725,6.39,429,90.8965167670979,1.94135292330431,1.18
"MGI_PolyA_HCC1395_3_3",98.1802482345799,47,38693818.5,51.0689592496966,0.3675,6.75,416,90.9079092799525,2.02711479135262,1.185
"MGI_PolyA-T_HCC1395_1",96.2779613006514,48,40053439,44.3421332322328,0.4275,6.585,382,89.9784402789234,2.08444179411224,1.285
"MGI_PolyA-T_HCC1395_2",96.2527779241456,48,39967794,44.5777908679941,0.4325,6.7625,395,89.9657743501052,2.03968137019037,1.265
"MGI_PolyA-T_HCC1395_3",96.2029231895351,48,40021695,45.6315893940392,0.385,6.6,393,90.2128707350369,2.00172909367594,1.285
"MGI_RiboZero_HCC1395_1",97.0146320381668,48,38144568,43.9041953830781,0.5425,0.71,249.5,76.490817394165,3.12871730030569,1.115
"MGI_RiboZero_HCC1395_2",96.6871191358826,47.5,38007427,37.7379469626586,0.54,0.66,252,87.9337381304708,3.16362468837604,1.09
"MGI_RiboZero_HCC1395_3",96.9597357506947,48,38112250,41.972265325132,0.575,0.5725,258,78.2128059393154,3.21163703893431,1.095
"NVG_PolyA_HCC1395_1",98.3031585036987,49.5,35304579,56.7804471518993,0.8725,7.1625,356,92.2054753637344,2.15394207509253,1.165
"NVG_PolyA_HCC1395_2",98.2602235991967,49.5,33562785.5,55.8251562095603,0.78,6.8675,339,92.7534025758239,2.12804986864938,1.165
"NVG_PolyA_HCC1395_3",98.3391774735785,49.5,35183435,56.9565179374719,0.855,5.8725,328.5,92.1249741591439,1.99238689316403,1.165
"SEQ_PolyA_HCC1395_1",99.7239646224408,47,46966159.5,61.9043962822042,0.535,7.92,208,99.1329524542885,2.06781032784521,1.25
"SEQ_PolyA_HCC1395_2",99.7305718752757,46.75,42573562.5,60.8961684495515,0.495,8.14,215,99.1309446950461,2.0943362650356,1.275
"SEQ_PolyA_HCC1395_3",99.7581142579873,46.5,51312354,62.9964375273042,0.5375,8.3625,212.5,99.202994179333,2.16604679200634,1.3
"SEQ_PolyA_HCC1395_4",99.7415346480005,46.5,50853051.5,63.4733317077174,0.5575,8.28,213.5,99.2864309662033,2.15319048575869,1.275
"SEQ_PolyA_HCC1395_5",99.7210716666738,46.5,51406818.5,63.2438149312683,0.4825,8.145,216,99.2238404811302,2.13335545985466,1.24
"SEQ_PolyA_HCC1395_6",99.7365674033949,46.5,50124619,62.7662043048962,0.5225,8.1725,218.5,99.2439043149842,2.14533545151581,1.28
"SEQ_RiboZero_HCC1395_1",99.092285948305,45,65518358.5,42.9469064912135,0.5975,1.9675,171.5,98.9569551252436,3.52704814253115,0.975
"SEQ_RiboZero_HCC1395_2",99.0967555486067,44.75,68365318,43.5685657476788,0.635,2.1075,166.5,98.9337174804867,3.45798657492449,0.955
"SEQ_RiboZero_HCC1395_3",99.107036813497,44.5,62723948.5,43.0864699220081,0.615,2.185,168,98.9197523831329,3.555087062303,0.995
"SEQ_RiboZero_HCC1395_4",99.0943064748145,44,70490685.5,43.9168554101431,0.5775,2.0575,172,99.0479565316205,3.52961069537803,0.98
"SEQ_RiboZero_HCC1395_5",99.1071922852832,44.5,66574775.5,43.1862092229583,0.6725,2.245,166.5,99.1455895021237,3.46773303042542,0.975
"SEQ_RiboZero_HCC1395_6",99.0631261646432,44.25,67390910,42.7702679275213,0.5725,1.8,165.5,99.2851187435337,3.52652737921193,0.955
